classname,content
comp.graphics,"path cantaloupe srv cs cmu edu ! das news harvard edu ! ogicse ! decwrl ! uunet ! nntp1 radiomail net ! fernwood ! shograf ! jack from jack shograf com \( jack ritter \) newsgroups comp graphics subject help ! ! message id c531e6 7uo shograf com date 6 apr 93 22 06 06 gmt article i d shograf c531e6 7uo distribution usa organization shographics , sunnyvale lines 9 i need a complete list of all the polygons that there are , in order i 'll summarize to the net if only i had been compiled with the ' g' option"
comp.graphics,"xref cantaloupe srv cs cmu edu comp graphics 39617 comp graphics animation 3311 path cantaloupe srv cs cmu edu ! das news harvard edu ! noc near net ! howland reston ans net ! usc ! fourier inference com ! gloster from gloster inference com \( vance m gloster \) newsgroups comp graphics , comp graphics animation subject re compositing pictures on pc \? date 15 may 93 11 24 16 organization inference corporation lines 28 message id gloster 93may15112416 fourier inference com references 1993may15 001631 7051 torreypinesca ncr com nntp posting host fourier inference com in reply to chu torreypinesca ncr com 's message of sat , 15 may 93 00 16 31 gmt in article 1993may15 001631 7051 torreypinesca ncr com chu torreypinesca ncr com \( patrick chu 3605 \) writes i was wondering if anyone knows of a graphics package for the pc that will do compositing of a series of pictures \? what i mean by compositing is , say i have a live video clip \( digitized \) panning around a living room , and a computer generated bird flying around the screen i want to combine these two series of pictures so that everywhere where the bird frames are black , i want the living room picture to show through yes , i realize i can do this with a genlock , and i do own a genlock , but i want to be able to do manual compositing also it 's ok if i have to composite one frame at a time i assumed i 'd have to do that anyway but being able to composite a series of frames would be even better i 've looked around and i have n't found a pc package that will perform this help , please ! if you can get the live animation and the computer generated animation into autodesk animator fli or flc format , autodesk animator will do this for you it can take one animation , make a certain color clear , and overlay it over another animation i do not have a way right now to convert avi or mpg files to animator files animator will also import a series of gif files to create an animation , so if your video capture stuff can create this is might work vance gloster gloster inference com"
alt.atheism,"path cantaloupe srv cs cmu edu ! das news harvard edu ! husc news harvard edu ! hsdndev ! howland reston ans net ! usenet ins cwru edu ! po cwru edu ! kmr4 newsgroups alt atheism subject re gospel dating message id kmr4 1456 734125953 po cwru edu from kmr4 po cwru edu \( keith m ryan \) date 6 apr 93 19 52 34 gmt references kmr4 1370 733757319 po cwru edu c4vyfu jj6 darkside osrhe uoknor edu organization case western reserve university nntp posting host b64635 student cwru edu lines 64 in article c4vyfu jj6 darkside osrhe uoknor edu bil okcforum osrhe edu \( bill conner \) writes keith m ryan \( kmr4 po cwru edu \) wrote wild and fanciful claims require greater evidence if you state that one of the books in your room is blue , i certainly do not need as much evidence to believe than if you were to claim that there is a two headed leapard in your bed and i do n't mean a male lover in a leotard ! keith , if the issue is , what is truth then the consequences of whatever proposition argued is irrelevent if the issue is , what are the consequences if such and such is true , then truth is irrelevent which is it to be \? i disagree every proposition needs a certain amount of evidence and support , before one can believe it there are a miriad of factors for each individual as we are all different , we quite obviously require different levels of evidence as one pointed out , one 's history is important while in fussr , one may not believe a comrade who states that he owns five pairs of blue jeans one would need more evidence , than if one lived in the united states the only time such a statement here would raise an eyebrow in the us , is if the individual always wear business suits , etc the degree of the effect upon the world , and the strength of the claim also determine the amount of evidence necessary when determining the level of evidence one needs , it is most certainly relevent what the consequences of the proposition are if the consequences of a proposition is irrelvent , please explain why one would not accept the electro magnetic force of attraction between two charged particles is inversely proportional to the cube of their distance apart remember , if the consequences of the law are not relevent , then we can not use experimental evidence as a disproof if one of the consequences of the law is an incongruency between the law and the state of affairs , or an incongruency between this law and any other natural law , they are irrelevent when theorizing about the truth of the law given that any consequences of a proposition is irrelvent , including the consequence of self contradiction or contradiction with the state of affiars , how are we ever able to judge what is true or not let alone find the truth \? by the way , what is truth \? please define before inserting it in the conversation please explain what truth or truth is i do think that anything is ever known for certain even if there is a truth , we could never possibly know if it were i find the concept to be meaningless satan and the angels do not have freewill they do what god tells them to do s n mozumder \( snm6394 ultb isc rit edu \)"
comp.graphics,"xref cantaloupe srv cs cmu edu sci med 58052 sci bio 11830 bionet general 4222 bionet neuroscience 1150 sci engr biomed 867 comp graphics 37919 path cantaloupe srv cs cmu edu ! crabapple srv cs cmu edu ! fs7 ece cmu edu ! europa eng gtefsd com ! emory ! nigel msen com ! sdd hp com ! zaphod mps ohio state edu ! cs utexas edu ! uunet ! decwrl ! netcomsv ! apple ! phughes from phughes apple com \( peter hughes \) newsgroups sci med , sci bio , bionet general , bionet neuroscience , sci engr biomed , comp graphics subject searching for public domain brain neuron databases message id 80425 apple apple com date 5 apr 93 23 23 22 gmt followup to sci med organization the humbio project lines 21 i am looking for publically accessible sources of data depicting brain and neuron functions especially interesting would be volumetric data from brain scans , electromicographs , and so forth please email me and let me know if you know of such the humbio project is a cd rom based curriculum tool for sixth , seventh , and eigth graders , studying the function of the human brain and the effects of neurotransmitters , alcohol , and drugs the will be a special focus in depicting the effects of neurotransmitters on behavior volotta interactive video is producing this project for stanford univers ity we are currently in a pre production phase and we are looking for data sets and visualizations depicting brain function on the whole brain , neuron and molecular levels we intend to use state of the art visualization tools to render instructive visualizations from two , three , and four dimensional data sets as well as using already completed visualizations to their best effect"
comp.graphics,"newsgroups comp graphics path cantaloupe srv cs cmu edu ! crabapple srv cs cmu edu ! fs7 ece cmu edu ! europa eng gtefsd com ! howland reston ans net ! sol ctr columbia edu ! the star honeywell com ! umn edu ! news feed 1 peachnet edu ! gatech ! udel ! news intercon com ! psinntp ! isc newsserver ! ultb ! jxl9011 from jxl9011 ultb isc rit edu \( j x lee \) subject job message id 1993apr15 022015 25817 ultb isc rit edu sender news ultb isc rit edu \( usenet news system \) nntp posting host ultb gw isc rit edu organization rochester institute of technology distribution seri date thu , 15 apr 1993 02 20 15 gmt lines 45 job opportunity seri \( systems engineering research institute \) , of kist \( korea institute of science and technology \) is looking for the resumes for the following position and need them by the end of june \( 6 30 \) if you are interested , send resumes to cad cae lab \( 6th floor \) systems engineering research institute korea institute of science and technology yousung gu , eoeun dong , daejon korea 305 600 company systems engineering research institute title senior research scientist job description in depth knowledge of c working knowledge of computer aided design working knowledge of computer graphics working knowledge of virtual reality skills not required but desirable knowledge of data modeling , virtual reality experience , understanding of client server architecture requirement ph d job location daejon , korea contact info chul ho , lim cad cae lab \( 6th floor \) systems engineering research institute korea institute of science and technology yousung gu , eoeun dong , daejon korea 305 600 phone \) 82 42 869 1681 fax \) 82 42 861 1999 e mail \) jxl9011 129 21 200 201"
alt.atheism,"path cantaloupe srv cs cmu edu ! das news harvard edu ! husc news harvard edu ! kuhub cc ukans edu ! moe ksu ksu edu ! zaphod mps ohio state edu ! cs utexas edu ! uunet ! olivea ! sgigate ! sgiblab ! adagio panasonic com ! nntp server caltech edu ! keith newsgroups alt atheism subject re political atheists \? message id 1pic4linnrau gap caltech edu from keith cco caltech edu \( keith allan schneider \) date 2 apr 93 21 44 53 gmt references 1993mar31 002303 4748 blaze cs jhu edu 11700 vice ico tek com 1993mar31 230523 13892 blaze cs jhu edu 11705 vice ico tek com organization california institute of technology , pasadena nntp posting host punisher caltech edu lines 15 bobbe vice ico tek com \( robert beauchaine \) writes my personal objection is that i find capital punishment to be cruel and unusual punishment under all circumstances it can be painless , so it is n't cruel and , it has occurred frequently since the dawn of time , so it is hardly unusual i do n't take issue with the numbers a single innocent life taken is one too many but , innocents die due to many causes why have you singled out accidental or false execution as the one to take issue with \? keith"
comp.graphics,"path cantaloupe srv cs cmu edu ! magnesium club cc cmu edu ! pitt edu ! wbdst from wbdst pitt edu \( william b dwinnell \) newsgroups comp graphics subject vesa as a graphics standard message id 9351 blue cis pitt edu date 19 apr 93 00 33 24 gmt sender news pitt edu organization university of pittsburgh lines 7 in the u ibm pc world , how much of a standard has vesa become for svga graphics \? i know there are lots of graphics board companies out there , as well as several graphics chips manufacturers are they adhering to the vesa standard , and what effect is will the vesa local bus have on all of this \? anyone \?"
alt.atheism,"path cantaloupe srv cs cmu edu ! magnesium club cc cmu edu ! news sei cmu edu ! cis ohio state edu ! pacific mps ohio state edu ! zaphod mps ohio state edu ! howland reston ans net ! noc near net ! uunet ! pipex ! ibmpcug ! mantis ! news from mathew mathew mantis co uk newsgroups alt atheism subject re yet more rushdie re islamic law message id 930420 121936 5a1 rusnews w165w mantis co uk date tue , 20 apr 1993 12 19 36 0100 references 115670 bu edu 11847 vice ico tek com 116003 bu edu organization mantis consultants , cambridge uk x newsreader rusnews v1 02 lines 50 jaeger buphy bu edu \( gregg jaeger \) writes in article 11847 vice ico tek com bobbe vice ico tek com \( robert beauchaine \) writes bennett , neil how bcci adapted the koran rules of banking the times august 13 , 1991 so , let 's see if some guy writes a piece with a title that implies something is the case then it must be so , is that it \? gregg , you have n't provided even a title of an article to support your contention this is how you support a position if you intend to have anyone respect it , gregg any questions \? and i even managed to include the above reference with my head firmly engaged in my ass what 's your excuse \? this supports nothing i have no reason to believe that this is piece is anything other than another anti islamic slander job you also have no reason to believe it is an anti islamic slander job , apart from your own prejudices i have no respect for titles , only for real content i can look up this article if i want , true but i can tell you bcci was not an islamic bank why , yes what 's a mere report in the times stating that bcci followed islamic banking rules \? gregg knows islam is good , and he knows bcci were bad , therefore bcci cannot have been islamic anyone who says otherwise is obviously spreading slanderous propaganda if someone wants to discuss the issue more seriously then i 'd be glad to have a real discussion , providing references , etc i see if someone wants to provide references to articles you agree with , you will also respond with references to articles you agree with \? mmm , yes , that would be a very intellectually stimulating debate doubtless that 's how you spend your time in soc culture islam i 've got a special place for you in my kill file right next to bobby want to join him \? the more you post , the more i become convinced that it is simply a waste of time to try and reason with moslems is that what you are hoping to achieve \? mathew"
comp.graphics,"path cantaloupe srv cs cmu edu ! das news harvard edu ! noc near net ! uunet ! pipex ! warwick ! bham ! ibm3090 bham ac uk ! situnaya from situnaya ibm3090 bham ac uk newsgroups comp graphics subject any good morphing anims date 23 apr 93 11 56 52 bst organization the university of birmingham , united kingdom lines 8 message id 935623115652 ibm3090 bham ac uk nntp posting host ibm3090 bham ac uk has anyone created any interesting animations using dmorph i seem to be unable to create anything that looks remotely realistic although this is probably due to the crappy gif 's at i am using \( one of captain kirk and one of spock \) , i'm a bit of a 'trekker' what are the best type of pictures to use thanks a situnayake"
comp.graphics,"newsgroups comp graphics path cantaloupe srv cs cmu edu ! magnesium club cc cmu edu ! news sei cmu edu ! fs7 ece cmu edu ! europa eng gtefsd com ! howland reston ans net ! zaphod mps ohio state edu ! ub ! galileo cc rochester edu ! uhura cc rochester edu ! ip001b from ip001b uhura cc rochester edu \( ivan pulleyn \) subject pc question 256 modes \? message id 1993apr29 211231 9094 galileo cc rochester edu sender news galileo cc rochester edu nntp posting host uhura cc rochester edu organization university of rochester \( rochester , ny \) references lhym2sho7e ipmce su date thu , 29 apr 93 21 12 31 gmt lines 17 hi , i need to know if there is a 256 color graphics mode that allows multiple pages i want something like mode 0x10 \( 640x350x16 2 pages \) i have been experimenting with graphics by calling the bios with borland turbo c i feel like i am flying blind in this area , and could use all the help that you can give thanks , ivan ivan pulleyn university of rochester e mail ip001b uhura cc rochester edu"
comp.graphics,"newsgroups comp graphics path cantaloupe srv cs cmu edu ! rochester ! udel ! bogus sura net ! howland reston ans net ! zaphod mps ohio state edu ! caen ! uunet ! mcsun ! sun4nl ! ruuinf ! cgschot from cgschot cs ruu nl \( gerco schot \) subject ray tracing pictures message id 1993apr22 085153 7529 cs ruu nl date thu , 22 apr 1993 08 51 53 gmt organization utrecht university , dept of computer science lines 23 for those who are interested in ray traced pictures , there is a nice example on alt binaries pictures misc the file is called poolball gif it shows a pooltable with yes ! poolballs ! resolution 1024x768 , colours 256 \( only \) the tga \( 24 bit \) version is also available , but a bit big \( 2 4mb \) to post the picture is created with pov ray enjoy ! gerco cgschot cs ruu nl gerco schot \( cgschot cs ruu nl \)"
